ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2006-07-10,324.86508010726305,405.16364976424165,645.2064026761236,324.86508010726305,324.86508010726305,205.97427472583914,205.97427472583914,205.97427472583914,195.02782646400001,195.02782646400001,195.02782646400001,8.874583235167323,8.874583235167323,8.874583235167323,2.071865026671843,2.071865026671843,2.071865026671843,0.0,0.0,0.0,530.8393548331022
2006-07-11,324.8082900987076,405.8738217113675,627.2119248421344,324.8082900987076,324.8082900987076,189.1285613116664,189.1285613116664,189.1285613116664,195.02782646400001,195.02782646400001,195.02782646400001,-8.036205421649122,-8.036205421649122,-8.036205421649122,2.1369402693154997,2.1369402693154997,2.1369402693154997,0.0,0.0,0.0,513.936851410374
2006-07-12,324.7515000901521,409.08498465892296,635.8836798880864,324.7515000901521,324.7515000901521,199.36911568212864,199.36911568212864,199.36911568212864,195.02782646400001,195.02782646400001,195.02782646400001,2.133249505959282,2.133249505959282,2.133249505959282,2.208039712169359,2.208039712169359,2.208039712169359,0.0,0.0,0.0,524.1206157722808
2006-08-01,323.6156999190424,398.74752493392776,629.8685670706125,323.6156999190424,323.6156999190424,189.90712487193574,189.90712487193574,189.90712487193574,195.02782646400001,195.02782646400001,195.02782646400001,-8.036205421672342,-8.036205421672342,-8.036205421672342,2.9155038296080575,2.9155038296080575,2.9155038296080575,0.0,0.0,0.0,513.5228247909781
2006-08-02,323.55890991048693,418.2187705836453,633.3762913944154,323.55890991048693,323.55890991048693,200.33564895939,200.33564895939,200.33564895939,195.02782646400001,195.02782646400001,195.02782646400001,2.1332495059357117,2.1332495059357117,2.1332495059357117,3.174572989454291,3.174572989454291,3.174572989454291,0.0,0.0,0.0,523.894558869877
2006-08-03,323.50211990193145,406.8621779775661,635.1474718891021,323.50211990193145,323.50211990193145,198.9569010245414,198.9569010245414,198.9569010245414,195.02782646400001,195.02782646400001,195.02782646400001,0.4434938033599928,0.4434938033599928,0.4434938033599928,3.4855807571813906,3.4855807571813906,3.4855807571813906,0.0,0.0,0.0,522.4590209264728
2006-08-04,323.44532989337597,409.1450800887365,637.878602230051,323.44532989337597,323.44532989337597,200.38568879402476,200.38568879402476,200.38568879402476,195.02782646400001,195.02782646400001,195.02782646400001,1.510537196497182,1.510537196497182,1.510537196497182,3.8473251335275958,3.8473251335275958,3.8473251335275958,0.0,0.0,0.0,523.8310186874007
2006-08-05,323.3885398848205,409.9014138412531,628.6695089997124,323.3885398848205,323.3885398848205,200.7243855085125,200.7243855085125,200.7243855085125,195.02782646400001,195.02782646400001,195.02782646400001,1.4397535219558792,1.4397535219558792,1.4397535219558792,4.256805522556624,4.256805522556624,4.256805522556624,0.0,0.0,0.0,524.112925393333
2006-08-06,323.331749876265,401.571709229585,626.1380176999038,323.331749876265,323.331749876265,193.37163651237188,193.37163651237188,193.37163651237188,195.02782646400001,195.02782646400001,195.02782646400001,-6.365411841294324,-6.365411841294324,-6.365411841294324,4.709221889666177,4.709221889666177,4.709221889666177,0.0,0.0,0.0,516.7033863886369
2006-08-07,323.2749598677095,416.38642908027435,638.4777511298804,323.2749598677095,323.2749598677095,209.10044763200415,209.10044763200415,209.10044763200415,195.02782646400001,195.02782646400001,195.02782646400001,8.874583235169535,8.874583235169535,8.874583235169535,5.198037932834601,5.198037932834601,5.198037932834601,0.0,0.0,0.0,532.3754074997137
2006-08-08,323.21816985915405,407.66629428687355,633.9034430566968,323.21816985915405,323.21816985915405,192.70672908025995,192.70672908025995,192.70672908025995,195.02782646400001,195.02782646400001,195.02782646400001,-8.036205421671825,-8.036205421671825,-8.036205421671825,5.7151080379317465,5.7151080379317465,5.7151080379317465,0.0,0.0,0.0,515.924898939414
2006-08-09,323.16137985059856,415.4161302269345,640.728056290744,323.16137985059856,323.16137985059856,203.41194155775443,203.41194155775443,203.41194155775443,195.02782646400001,195.02782646400001,195.02782646400001,2.1332495059656402,2.1332495059656402,2.1332495059656402,6.2508655877887795,6.2508655877887795,6.2508655877887795,0.0,0.0,0.0,526.573321408353
2006-08-10,323.1045898420431,412.33857820256435,636.2875603409084,323.1045898420431,323.1045898420431,202.26588830282782,202.26588830282782,202.26588830282782,195.02782646400001,195.02782646400001,195.02782646400001,0.4434938033737777,0.4434938033737777,0.4434938033737777,6.794568035454063,6.794568035454063,6.794568035454063,0.0,0.0,0.0,525.370478144871
